post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
153923513.the-thermodynamics-of-the-collapse,2025-01-01T21:58:53.694Z,true,2025-01-01T21:58:53.750Z,2025-01-01T21:58:53.750Z,newsletter,everyone,The thermodynamics of the collapse of civilization,,
153888617.how-fundamental-relationships-define,,false,,,newsletter,only_paid,,,
153887421.gdp-and-the-fertility-crisis,2025-01-01T02:48:13.929Z,true,2025-01-01T02:48:14.041Z,2025-01-01T02:48:14.041Z,newsletter,everyone,GDP and The Fertility Crisis,Institutional behavior is outcompeting personal behavior,
153777478.a-pseudo-marxist-apologia-of-the,2024-12-30T03:53:32.013Z,true,2024-12-30T03:53:32.123Z,2024-12-30T03:53:32.123Z,newsletter,everyone,A (pseudo-)Marxist apologia of the billionaire class,Looking at the material conditions of the filthy rich,
153634309.random-notes,,false,,,newsletter,only_paid,,,
153380476.did-this-medieval-monk-predict-modern,2025-03-05T16:57:53.335Z,true,2025-03-05T16:57:53.502Z,2025-03-05T16:57:53.502Z,newsletter,everyone,Did this Medieval Monk Predict Modern Physics???!!,"Eckhart, Taoism, and Dissipative Systems",
153072262.tips-to-climb-out-of-a-deep-dark,,false,,,newsletter,only_paid,,,
152810740.gambling-insurance-probability-distributions,,false,,,newsletter,only_paid,,,
152132268.hyperdemocracy,,false,,,newsletter,only_paid,,,
151609772.assumptions-symmetry-and-abstraction,,false,,,newsletter,only_paid,,,
151555298.institutions-and-game-theory,,false,,,newsletter,only_paid,,,
151405375.notes-on-iq,2024-11-09T04:56:32.180Z,true,2024-11-09T04:56:32.261Z,2024-11-09T04:56:32.261Z,newsletter,everyone,Notes on IQ,"No, IQ is not mostly genetic. ",
151213834.b14,,false,,,newsletter,only_paid,,,
151058564.temperature-and-decay-of-information,,false,,,newsletter,only_paid,,,
150971393.justification-for-using-information,,false,,,newsletter,only_paid,,,
150971123.thermodynamics-of-groupthink-and,,false,,,newsletter,only_paid,,,
150970172.force-and-signal,2024-11-03T07:47:15.592Z,true,2024-11-03T07:47:15.692Z,2024-11-03T07:47:15.692Z,newsletter,everyone,Force and signal,"How entropy, channel capacity, temperature, and work are related",
150944850.tips-to-climb-out-of-a-deep-dark,,false,,,newsletter,only_paid,,,
150932564.41f,,false,,,newsletter,only_paid,,,
150877715.1ab,,false,,,newsletter,only_paid,,,
150828874.tips-to-climb-out-of-a-deep-dark,,false,,,newsletter,only_paid,,,
